timestamp	pid	elapsed_seconds	state	cpu_percent	memory_percent	rss_kib	vsz_kib	thread_count	command
2026-09-13T20:32:13+09:00	16830	1	SN+	9.5	0.4	18048	23080	1	agent-leak-app
2026-09-13T20:32:14+09:00	16830	2	SN+	5.5	0.4	18048	23080	1	agent-leak-app
2026-09-13T20:32:15+09:00	16830	3	SN+	4.0	0.4	18048	23080	1	agent-leak-app
2026-09-13T20:32:16+09:00	16830	4	SNl+	4.5	1.1	43648	197172	3	agent-leak-app
2026-09-13T20:32:17+09:00	16830	5	SNl+	3.6	1.1	43648	197172	3	agent-leak-app
2026-09-13T20:32:18+09:00	16830	6	SNl+	3.0	1.1	43648	197172	3	agent-leak-app
2026-09-13T20:32:19+09:00	16830	7	SNl+	3.3	1.7	69248	222776	3	agent-leak-app
2026-09-13T20:32:20+09:00	16830	8	SNl+	2.8	1.7	69248	222776	3	agent-leak-app
2026-09-13T20:32:21+09:00	16830	9	SNl+	2.5	1.8	72192	248380	3	agent-leak-app
2026-09-13T20:32:22+09:00	16830	10	SNl+	2.9	2.4	94848	248380	3	agent-leak-app
2026-09-13T20:32:23+09:00	16830	11	SNl+	2.6	2.4	94848	248380	3	agent-leak-app
2026-09-13T20:32:24+09:00	16830	12	SNl+	2.5	2.6	104320	273984	3	agent-leak-app
2026-09-13T20:32:25+09:00	16830	13	SNl+	2.6	3.0	120448	273984	3	agent-leak-app
2026-09-13T20:32:26+09:00	16830	14	SNl+	2.4	3.0	120448	273984	3	agent-leak-app
2026-09-13T20:32:27+09:00	16830	15	SNl+	2.4	3.4	136448	299588	3	agent-leak-app
2026-09-13T20:32:28+09:00	16830	16	SNl+	2.6	3.7	146048	299588	3	agent-leak-app
2026-09-13T20:32:29+09:00	16830	17	SNl+	2.4	3.7	146048	299588	3	agent-leak-app
2026-09-13T20:32:30+09:00	16830	18	SNl+	2.4	4.3	171648	325192	3	agent-leak-app
2026-09-13T20:32:31+09:00	16830	19	SNl+	2.5	4.3	171648	325192	3	agent-leak-app
2026-09-13T20:32:32+09:00	16830	20	SNl+	2.4	4.3	171648	325192	3	agent-leak-app
2026-09-13T20:32:33+09:00	16830	21	SNl+	2.4	5.0	197248	350796	3	agent-leak-app
2026-09-13T20:32:34+09:00	16830	22	SNl+	2.5	5.0	197248	350796	3	agent-leak-app
2026-09-13T20:32:35+09:00	16830	23	SNl+	2.4	5.0	197248	350796	3	agent-leak-app
2026-09-13T20:32:36+09:00	16830	24	SNl+	2.4	5.6	222848	376400	3	agent-leak-app
2026-09-13T20:32:38+09:00	16830	25	SNl+	2.4	5.6	222848	376400	3	agent-leak-app
2026-09-13T20:32:39+09:00	16830	26	SNl+	2.3	5.6	222848	376400	3	agent-leak-app
2026-09-13T20:32:40+09:00	16830	27	SNl+	2.4	6.3	248448	402004	3	agent-leak-app
2026-09-13T20:32:41+09:00	16830	28	SNl+	2.4	6.3	248448	402004	3	agent-leak-app
2026-09-13T20:32:42+09:00	16830	29	SNl+	2.3	6.3	248448	402004	3	agent-leak-app
2026-09-13T20:32:43+09:00	16830	30	SNl+	2.4	6.9	274048	427608	3	agent-leak-app
